;97616.01;320.00;26.55
0.00;0.00
19.00;0.88
18.00;-0.92
17.00;0.49
18.00;0.92
17.00;-1.29
17.00;1.35
18.00;-0.87
17.00;-0.61
18.00;1.59
16.00;-0.80
17.00;1.05
18.00;-0.80
17.00;0.24
18.00;0.00
17.00;-0.73
17.00;1.29
18.00;0.62
17.00;-1.91
18.00;1.04
17.00;-0.98
17.00;2.46
17.00;-1.48
17.00;-1.04
18.00;-0.55
17.00;1.53
18.00;0.43
17.00;-1.71
17.00;1.34
18.00;0.37
17.00;-1.10
18.00;1.16
16.00;-1.23
18.00;0.92
17.00;0.19
17.00;-0.31
18.00;-0.92
17.00;1.41
18.00;-0.49
17.00;0.31
17.00;-0.49
17.00;0.24
17.00;0.62
18.00;-1.72
17.00;-0.24
18.00;1.65
17.00;0.50
17.00;-0.98
18.00;-1.04
17.00;2.02
18.00;-0.87
16.00;-1.04
18.00;0.86
17.00;-1.48
17.00;1.54
18.00;0.05
17.00;0.93
18.00;-1.66
47.00;0.66
17.00;1.29
18.00;-2.09
17.00;0.49
17.00;0.49
17.00;-0.49
17.00;-1.10
18.00;1.59
17.00;-0.31
17.00;-1.28
18.00;0.48
17.00;0.80
18.00;0.00
17.00;0.00
17.00;0.68
18.00;-0.31
17.00;-1.41
18.00;1.04
17.00;-1.10
18.00;0.37
17.00;0.25
17.00;0.80
17.00;-0.31
17.00;-1.28
18.00;1.28
17.00;0.13
18.00;-1.66
17.00;1.35
17.00;-0.86
18.00;0.05
17.00;-0.30
18.00;0.30
16.00;1.30
17.00;-1.35
18.00;-0.55
17.00;1.96
18.00;0.31
17.00;-0.68
16.00;0.00
17.00;-0.24
17.00;0.67
18.00;-1.35
17.00;-0.12
18.00;0.80
17.00;0.24
17.00;0.00
18.00;-0.73
17.00;-0.06
18.00;0.49
16.00;0.30
17.00;0.31
18.00;-1.35
17.00;1.04
18.00;-1.04
17.00;0.73
18.00;-0.06
17.00;0.68
44.00;-0.37
17.00;-1.16
18.00;-0.43
17.00;0.68
18.00;1.10
17.00;-1.60
17.00;1.91
17.00;-0.75
17.00;0.80
18.00;-1.10
17.00;-0.55
18.00;0.91
17.00;0.38
16.00;-0.06
18.00;-1.54
17.00;2.03
18.00;-1.91
17.00;-0.48
18.00;0.42
17.00;-0.85
17.00;1.10
18.00;-0.98
17.00;-0.61
18.00;0.61
16.00;-1.77
17.00;0.61
18.00;0.30
17.00;-1.10
